index,Date,Country,Cumulative number of case(s),Number of deaths,Number recovered
152,2003-03-29,Republic of Ireland,2,0,0
153,2003-03-29,Romania,3,0,0
154,2003-03-29,Singapore,89,2,0
155,2003-03-29,Switzerland,3,0,0
156,2003-03-29,Thailand,3,1,0
157,2003-03-29,United Kingdom,3,0,0
158,2003-03-29,United States,59,0,0
159,2003-03-29,Viet Nam,58,4,0
160,2003-03-31,Canada,44,4,0
161,2003-03-31,China,806,34,0
162,2003-03-31,"Hong Kong SAR, China",530,13,0
163,2003-03-31,"Taiwan, China",10,0,0
164,2003-03-31,France,1,0,0
165,2003-03-31,Germany,5,0,0
166,2003-03-31,Italy,2,0,0
167,2003-03-31,Republic of Ireland,2,0,0
168,2003-03-31,Romania,3,0,0
169,2003-03-31,Singapore,91,2,0
170,2003-03-31,Switzerland,3,0,0
171,2003-03-31,Thailand,5,1,0
172,2003-03-31,United Kingdom,3,0,0
173,2003-03-31,United States,59,0,0
174,2003-03-31,Viet Nam,58,4,0
175,2003-04-01,Australia,1,0,0
176,2003-04-01,Belgium,1,0,0
177,2003-04-01,Canada,53,4,0
178,2003-04-01,China,806,34,0
179,2003-04-01,"Hong Kong SAR, China",685,16,0
180,2003-04-01,"Taiwan, China",13,0,0
181,2003-04-01,France,1,0,0
182,2003-04-01,Germany,5,0,0
183,2003-04-01,Italy,3,0,0
184,2003-04-01,Republic of Ireland,2,0,0
185,2003-04-01,Romania,3,0,0
186,2003-04-01,Singapore,92,3,0
187,2003-04-01,Switzerland,3,0,0
188,2003-04-01,Thailand,6,1,0
189,2003-04-01,United Kingdom,3,0,0
190,2003-04-01,United States,69,0,0
191,2003-04-01,Viet Nam,58,4,0
192,2003-04-02,Australia,1,0,0
193,2003-04-02,Belgium,1,0,0
194,2003-04-02,Canada,58,6,0
195,2003-04-02,China,1190,46,0
196,2003-04-02,"Hong Kong SAR, China",708,16,0
197,2003-04-02,"Taiwan, China",13,0,0
198,2003-04-02,France,1,0,0
199,2003-04-02,Germany,5,0,0
200,2003-04-02,Italy,3,0,0
201,2003-04-02,Republic of Ireland,2,0,0
202,2003-04-02,Romania,3,0,0
203,2003-04-02,Singapore,95,4,0
204,2003-04-02,Spain,1,0,0
205,2003-04-02,Switzerland,2,0,0
206,2003-04-02,Thailand,7,2,0
207,2003-04-02,United Kingdom,3,0,0
208,2003-04-02,United States,72,0,0
209,2003-04-02,Viet Nam,58,4,0
210,2003-04-03,Australia,1,0,0
211,2003-04-03,Belgium,1,0,0
212,2003-04-03,Brazil,1,0,0
213,2003-04-03,Canada,62,6,0
214,2003-04-03,China,1190,46,0
215,2003-04-03,"Hong Kong SAR, China",734,17,0
216,2003-04-03,"Taiwan, China",14,0,0
217,2003-04-03,France,3,0,0
218,2003-04-03,Germany,5,0,0
219,2003-04-03,Italy,3,0,0
220,2003-04-03,Republic of Ireland,1,0,0
221,2003-04-03,Romania,1,0,0
222,2003-04-03,Singapore,98,4,0
223,2003-04-03,Switzerland,2,0,0
224,2003-04-03,Thailand,7,2,0
225,2003-04-03,United Kingdom,3,0,0
226,2003-04-03,United States,85,0,0
227,2003-04-03,Viet Nam,59,4,0
228,2003-04-04,Australia,1,0,0
229,2003-04-04,Belgium,1,0,0
230,2003-04-04,Brazil,1,0,0
231,2003-04-04,Canada,69,7,0
232,2003-04-04,China,1220,49,0
233,2003-04-04,"Hong Kong SAR, China",761,17,0
234,2003-04-04,"Taiwan, China",15,0,0
235,2003-04-04,France,3,0,0
236,2003-04-04,Germany,5,0,0
237,2003-04-04,Italy,3,0,0
238,2003-04-04,Republic of Ireland,1,0,0
239,2003-04-04,Romania,1,0,0
240,2003-04-04,Singapore,100,5,0
241,2003-04-04,Spain,1,0,0
242,2003-04-04,Switzerland,2,0,0
243,2003-04-04,Thailand,7,2,0
244,2003-04-04,United Kingdom,3,0,0
